4,-23,-53
87,-773,78
134,-958,89
136,-965,115
121,-981,111
117,-996,90
131,-970,80
149,-952,119
135,-974,105
125,-996,94
126,-974,90
145,-959,105
136,-976,85
133,-989,96
136,-969,111
130,-980,114
141,-979,103
139,-973,98
146,-974,114
132,-977,118
123,-978,113
133,-976,103
154,-968,113
135,-972,112
133,-988,115
121,-985,92
141,-979,126
147,-967,122
138,-991,111
134,-999,97
137,-979,111
137,-983,121
133,-997,88
-238,993,1998
129,-982,123
124,-991,107
124,-1000,91
133,-993,77
137,-987,112
112,-1004,92
111,-1012,80
129,-999,75
142,-987,95
127,-1007,101
113,-1020,95
114,-1011,68
140,-994,78
139,-990,109
115,-1012,82
108,-1032,86
113,-1006,99
135,-996,90
141,-1007,87
140,-1015,79
121,-1012,102
118,-1020,102
125,-1011,89
133,-1010,127
126,-1013,86
123,-1027,79
135,-1001,92
135,-1005,106
124,-1021,117
113,-1031,79
129,-1008,110
137,-1001,88
-1397,-1154,3997
149,-1026,98
136,-1018,94
119,-1023,113
118,-1029,100
135,-1021,93
150,-1000,85
140,-1012,75
119,-1025,111
95,-1025,86
111,-1023,96
131,-1005,79
144,-1001,95
120,-1026,60
115,-1034,93
107,-1017,82
131,-1017,90
129,-1015,90
129,-1015,83
113,-1016,91
124,-1017,70
129,-1001,113
116,-1019,89
122,-1020,114
103,-1009,85
139,-1001,108
132,-1001,105
130,-1018,115
106,-1012,112
118,-1013,101
128,-1001,105
137,-994,91
127,-1004,121
100,177,1998
106,-1017,102
112,-1017,81
128,-991,77
143,-985,85
122,-1006,85
102,-1023,79
102,-1007,80
126,-986,66
138,-981,84
107,-1005,91
94,-1018,70
96,-992,77
120,-972,123
109,-996,87
109,-1005,71
107,-983,97
107,-980,121
96,-1006,84
117,-999,96
111,-979,111
114,-999,78
121,-986,79
118,-977,90
119,-991,109
100,-995,75
122,-971,93
135,-964,78
138,-983,95
119,-983,85
113,-987,95
113,-986,113
131,-977,72
-398,2128,-1998
144,-963,121
122,-986,82
120,-992,115
104,-982,135
117,-978,106
130,-976,97
136,-973,118
108,-976,114
102,-1001,115
106,-987,111
133,-965,119
127,-981,113
128,-999,86
124,-980,98
125,-982,75
133,-972,122
112,-985,94
125,-990,72
147,-977,67
150,-955,105
131,-985,81
126,-1015,72
137,-974,90
153,-963,90
156,-990,71
146,-996,78
133,-981,106
131,-992,111
140,-989,101
147,-971,83
163,-979,103
129,-990,116
196,377,-3441
115,-994,113
114,-996,105
142,-990,103
140,-969,118
114,-996,105
124,-994,116
112,-1015,108
109,-999,86
126,-978,132
114,-994,101
122,-1016,82
109,-982,97
119,-981,87
111,-1002,112
100,-1001,76
112,-994,99
120,-993,69
135,-979,101
114,-994,79
119,-1018,101
101,-1002,85
126,-979,111
126,-999,74
134,-1005,83
123,-985,88
116,-1005,87
112,-1007,107
117,-996,66
135,-988,88
120,-1001,77
110,-1005,83
108,-1009,64
124,-1000,99
-39,-548,-3997
119,-988,88
110,-1012,84
96,-1015,95
110,-1005,57
125,-989,112
108,-999,93
102,-1016,91
89,-1011,78
111,-991,101
105,-994,94
111,-1011,101
94,-1007,104
100,-1009,86
106,-1002,126
104,-999,101
109,-1020,101
105,-1014,94
114,-997,111
112,-1007,97
115,-1021,87
117,-1007,80
121,-1004,93
114,-1011,87
112,-1012,36
125,-1006,79
130,-995,54
113,-1011,68
109,-1019,54
113,-1006,61
119,-1004,87
120,-1010,70
124,-1012,72
131,482,-3997
121,-1007,85
119,-1010,93
113,-1014,110
107,-1017,99
117,-1021,117
118,-1000,105
127,-1005,100
126,-1012,126
113,-1021,115
118,-1011,104
124,-1001,119
128,-1004,118
125,-1013,76
130,-1010,116
111,-1002,97
126,-1021,96
129,-1006,87
130,-988,94
118,-1007,87
117,-1014,78
112,-998,95
114,-1005,99
114,-1004,102
113,-1010,92
124,-998,102
119,-1002,85
120,-1004,124
98,-1009,113
109,-1019,92
125,-1000,106
137,-980,105
125,-1012,102
-141,472,-3997
124,-1012,77
116,-991,119
126,-992,90
141,-994,96
140,-990,97
139,-988,113
125,-1001,103
131,-1001,113
147,-973,92
152,-984,146
123,-1000,110
135,-1006,104
146,-981,123
147,-977,142
135,-993,137
119,-1012,104
141,-991,120
145,-973,135
137,-988,111
132,-1002,100
136,-989,106
132,-977,122
124,-989,106
132,-995,71
137,-976,111
126,-987,112
119,-997,76
136,-978,83
141,-976,107
130,-987,71
125,-991,86
120,-980,100
38,-927,-3555
124,-988,67
146,-973,92
132,-965,80
127,-995,101
113,-992,86
120,-967,106
139,-971,111
135,-987,106
132,-978,116
132,-978,105
129,-975,131
114,-982,122
121,-986,146
108,-981,113
135,-973,129
133,-966,109
129,-984,125
109,-984,126
100,-989,122
111,-983,119
127,-973,85
134,-972,122
110,-986,84
102,-997,111
102,-984,68
127,-969,114
112,-983,79
117,-990,76
101,-981,93
103,-988,76
117,-995,108
98,-994,81
32,1032,-3072
108,-1001,89
108,-991,74
115,-988,122
100,-998,96
100,-1014,113
99,-992,111
118,-995,101
119,-992,129
106,-1003,116
118,-995,101
100,-1009,155
102,-1016,99
132,-997,144
130,-984,101
134,-1010,143
100,-1026,87
119,-1014,124
118,-998,133
138,-1009,94
129,-1011,105
124,-1004,103
111,-1020,132
109,-1032,94
130,-1013,114
137,-1005,79
140,-1009,124
110,-1017,76
116,-1030,113
105,-1020,90
123,-1017,100
114,-1021,83
126,-1023,80
115,-1018,106
78,-1188,-2399
101,-1028,68
112,-1024,118
107,-1024,67
122,-1018,83
116,-1009,51
120,-1016,106
98,-1029,86
108,-1031,101
114,-1009,104
136,-1001,73
137,-1007,99
115,-1015,131
95,-1036,137
107,-1033,112
150,-987,140
151,-988,151
133,-1027,131
109,-1026,129
127,-1011,151
145,-993,140
141,-1008,138
135,-1009,100
122,-1007,108
116,-995,103
118,-1007,110
115,-1007,102
125,-1003,57
134,-997,92
114,-990,84
107,-1019,65
105,-1020,80
116,-989,81
32,229,-1575
123,-986,100
115,-1009,55
127,-998,85
102,-984,106
103,-1017,107
108,-1005,78
133,-978,100
145,-982,97
134,-1001,130
112,-1002,116
136,-1003,107
162,-976,148
164,-964,107
155,-997,139
142,-1006,107
143,-989,151
147,-985,131
170,-996,106
179,-979,108
157,-979,122
138,-1002,114
128,-998,108
143,-976,114
158,-984,84
152,-988,100
132,-990,83
119,-1004,95
118,-1006,92
133,-979,96
130,-988,95
127,-1009,72
120,-990,81
22,-293,-478
111,-990,100
113,-1005,103
118,-998,63
138,-982,83
147,-980,79
124,-1001,101
113,-1000,92
128,-996,86
150,-983,92
152,-973,105
140,-993,106
138,-1006,94
137,-975,130
140,-977,134
154,-998,95
146,-989,119
139,-976,119
134,-998,115
125,-995,120
130,-981,120
132,-982,119
128,-990,98
124,-975,104
111,-991,121
107,-1003,121
95,-994,121
111,-998,98
124,-985,110
110,-989,110
100,-1007,104
95,-1009,94
102,-993,93
72,-74,201
119,-983,96
110,-999,76
109,-1002,74
110,-993,81
113,-994,87
116,-1007,74
132,-987,71
131,-991,99
125,-1005,84
118,-1006,94
134,-991,91
144,-993,100
137,-993,104
127,-1006,111
125,-1009,94
132,-998,117
133,-985,123
124,-1005,109
117,-1016,120
115,-1000,132
112,-1000,110
135,-1007,136
115,-999,118
115,-1019,119
112,-1012,110
117,-995,105
119,-1006,104
108,-1011,100
98,-1011,81
117,-1006,72
124,-998,77
119,-1001,74
29,-124,485
101,-1020,94
94,-1018,71
117,-1005,59
139,-989,112
122,-1006,72
112,-1038,108
111,-1011,81
119,-1001,126
129,-1005,89
127,-1011,98
118,-1003,115
107,-1014,107
128,-1005,110
123,-998,115
107,-1014,107
128,-1006,105
119,-1012,117
100,-1013,115
116,-1005,121
120,-1009,122
127,-1007,119
112,-1006,103
106,-1012,121
100,-1016,104
99,-1005,106
109,-1002,107
106,-1005,109
97,-1012,108
97,-1012,97
101,-1002,123
105,-1009,97
108,-1013,123
109,-1013,103
-104,146,419
123,-1012,115
123,-1008,93
125,-1009,113
106,-1005,128
93,-1023,92
120,-1007,85
128,-988,98
124,-1002,95
108,-1025,77
113,-1010,95
116,-1004,76
137,-1004,93
125,-1005,95
129,-1015,87
122,-1014,90
137,-996,89
135,-990,141
110,-1019,90
123,-1016,98
135,-985,110
139,-987,128
127,-1014,114
119,-1011,118
118,-992,127
130,-999,110
128,-1000,118
129,-992,116
119,-1003,138
119,-1005,106
139,-977,112
143,-978,129
133,-1007,105
118,414,586
117,-995,101
125,-982,127
132,-987,116
140,-992,96
138,-976,115
128,-992,107
115,-1003,116
125,-976,87
133,-979,120
126,-996,104
124,-982,91
122,-984,111
133,-989,113
120,-982,114
125,-995,104
127,-986,84
142,-975,106
130,-976,95
120,-989,116
102,-994,110
119,-980,91
137,-967,108
140,-976,92
126,-984,120
105,-993,106
117,-988,144
122,-969,103
143,-982,102
138,-975,97
112,-984,120
97,-995,131
112,-990,94
-88,-782,715
130,-975,130
129,-969,85
122,-993,112
107,-983,91
114,-980,98
122,-982,122
120,-994,98
115,-984,89
114,-987,98
115,-989,90
110,-985,84
116,-988,104
98,-998,103
102,-994,80
121,-982,80
126,-984,102
112,-994,92
92,-1003,95
105,-998,96
122,-983,94
136,-977,94
124,-994,117
100,-1011,84
114,-995,76
138,-971,104
129,-988,107
114,-1016,86
113,-1000,87
124,-979,114
131,-991,96
137,-1002,100
129,-997,99
50,691,639
128,-1002,135
120,-999,101
136,-1005,122
131,-990,127
117,-1002,107
118,-1006,130
110,-993,117
121,-1008,142
111,-1006,102
124,-997,107
116,-1000,119
111,-1013,73
113,-1003,91
120,-994,88
109,-1010,106
107,-1021,54
120,-993,82
117,-988,69
117,-1019,56
109,-997,76
110,-1001,76
116,-1008,86
124,-994,79
123,-998,123
123,-1017,90
118,-1004,99
137,-991,127
131,-999,135
118,-1015,119
124,-995,133
124,-991,137
136,-1008,127
13,762,800
135,-997,104
132,-993,124
125,-1005,117
124,-1001,103
130,-995,92
136,-998,114
127,-996,82
128,-1008,91
127,-1000,80
125,-996,93
119,-1011,118
107,-1007,92
116,-1009,73
131,-993,86
125,-992,111
104,-1018,118
100,-1024,91
113,-991,122
129,-984,114
100,-1024,91
127,-1016,112
117,-1019,81
112,-999,121
116,-1001,127
120,-1013,111
129,-1000,88
148,-986,110
139,-994,108
131,-1011,92
134,-1005,90
140,-990,106
140,-990,118
136,-1003,109
1,829,523
138,-1002,83
153,-985,108
139,-984,131
127,-1018,118
128,-1016,102
144,-980,131
138,-987,146
